"Tỉnh/Thành phố sau sáp nhập","Detail"
"Hà Nội","Hạng du lịch: A | Địa danh: Hà Nội; Hồ Gươm; Phố Cổ Hà Nội; Hồ Tây; Văn Miếu; Hoàng Thành Thăng Long; Lăng Bác; Ba Vì; chùa Hương; làng cổ Đường Lâm | Hashtag Instagram: #dulichhanoi; #hanoitravel; #reviewhanoi; #anchoihanoi; #hanoifood; #phocohanoi; #checkinhanoi"
"TP.HCM","Hạng du lịch: A | Địa danh: TP.HCM; Sài Gòn; Vũng Tàu; Côn Đảo; Hồ Tràm; chợ Bến Thành; phố Bùi Viện; Nhà thờ Đức Bà; Landmark 81; Cần Giờ; Bình Dương | Hashtag Instagram: #dulichsaigon; #saigontravel; #reviewsaigon; #anchoisaigon; #saigonfood; #dulichvungtau; #condao"
"Đà Nẵng","Hạng du lịch: A | Địa danh: Đà Nẵng; Bà Nà Hills; Hội An; Mỹ Khê; Sơn Trà; Ngũ Hành Sơn; Cầu Rồng; Cù Lao Chàm; Mỹ Sơn; đèo Hải Vân; Quảng Nam | Hashtag Instagram: #dulichdanang; #danangtravel; #reviewdanang; #anchoidanang; #danangfood; #hoian; #banahills"
"Huế","Hạng du lịch: A | Địa danh: Huế; Đại Nội Huế; Kinh thành Huế; sông Hương; chùa Thiên Mụ; lăng Khải Định; lăng Tự Đức; Bạch Mã; Lăng Cô; biển Thuận An | Hashtag Instagram: #dulichhue; #huetravel; #reviewhue; #anchoihue; #huefood; #dainoihue"
"Lâm Đồng","Hạng du lịch: A | Địa danh: Đà Lạt; Langbiang; hồ Tuyền Lâm; thác Datanla; thung lũng Tình Yêu; đồi chè Cầu Đất; Mũi Né; Phan Thiết; Bàu Trắng; Tà Đùng | Hashtag Instagram: #dulichdalat; #dalattravel; #reviewdalat; #anchoidalat; #dalatfood; #muine; #phanthiet"
"Khánh Hòa","Hạng du lịch: A | Địa danh: Nha Trang; Khánh Hòa; Vinpearl Nha Trang; đảo Bình Ba; Vĩnh Hy; Dốc Lết; Cam Ranh; Bãi Dài; Ninh Thuận; Phan Rang | Hashtag Instagram: #dulichnhatrang; #nhatrangtravel; #reviewnhatrang; #anchoinhatrang; #nhatrangfood; #vinhhy"
"Quảng Ninh","Hạng du lịch: A | Địa danh: Hạ Long; Vịnh Hạ Long; Bãi Cháy; Cô Tô; Quan Lạn; Yên Tử; Bình Liêu; Tuần Châu; Móng Cái | Hashtag Instagram: #dulichhalong; #halongbay; #reviewhalong; #anchoihalong; #coto; #quangninh"
"Ninh Bình","Hạng du lịch: A | Địa danh: Ninh Bình; Tràng An; Tam Cốc; Hang Múa; Bái Đính; Cúc Phương; đầm Vân Long; Nam Định; Hà Nam | Hashtag Instagram: #dulichninhbinh; #ninhbinhtravel; #reviewninhbinh; #trangan; #tamcoc; #hangmua"
"Lào Cai","Hạng du lịch: A | Địa danh: Sa Pa; Lào Cai; Fansipan; Y Tý; Bắc Hà; Mù Cang Chải; Nghĩa Lộ; đỉnh Lảo Thẩn; Yên Bái | Hashtag Instagram: #dulichsapa; #sapatravel; #reviewsapa; #mucangchai; #fansipan; #yty"
"An Giang","Hạng du lịch: A | Địa danh: Phú Quốc; An Giang; Châu Đốc; Núi Cấm; rừng tràm Trà Sư; Hà Tiên; Nam Du; Hòn Sơn; miếu Bà Chúa Xứ; Kiên Giang | Hashtag Instagram: #dulichphuquoc; #phuquoctravel; #reviewphuquoc; #anchoiphuquoc; #chaudoc; #hatien; #namdu"
"Gia Lai","Hạng du lịch: A | Địa danh: Quy Nhơn; Gia Lai; Bình Định; Kỳ Co; Eo Gió; Pleiku; Biển Hồ; Ghềnh Ráng; Hầm Hô | Hashtag Instagram: #dulichquynhon; #quynhontravel; #reviewquynhon; #kyco; #eogio; #pleiku"
"Tuyên Quang","Hạng du lịch: A | Địa danh: Hà Giang; Tuyên Quang; Đồng Văn; Mã Pí Lèng; Lũng Cú; sông Nho Quế; cao nguyên đá; Hoàng Su Phì; Na Hang | Hashtag Instagram: #dulichhagiang; #hagiang; #hagiangloop; #reviewhagiang; #dongvan; #mapileng"
"Hải Phòng","Hạng du lịch: B | Địa danh: Hải Phòng; Cát Bà; Đồ Sơn; đảo Cát Bà; Hải Dương; Côn Sơn Kiếp Bạc | Hashtag Instagram: #dulichhaiphong; #catba; #reviewhaiphong; #haiphongfood"
